,0
x274,0.00015772581100463866
x275,5.658864974975586e-05
x276,0.00042002201080322267
x277,2.334117889404297e-05
x279,3.1065940856933596e-05
x280,0.00030945539474487306
x282,0.0001903057098388672
x283,5.07354736328125e-05
x284,5.086660385131836e-05
x285,0.0002512931823730469
x286,0.00020586252212524415
x287,0.00022261142730712892
x290,0.00010268688201904297
x291,0.00011345148086547852
x293,5.21540641784668e-05
x294,6.580352783203125e-06
x297,1.0228157043457031e-05
x298,9.942054748535156e-05
x299,5.4502487182617186e-05
x300,0.00012122392654418945
x301,0.00019083023071289062
x302,0.00012153387069702148
x303,5.125999450683594e-05
x304,5.548000335693359e-05
x306,0.00010417699813842773
x308,7.49349594116211e-05
x309,0.00023750066757202148
x310,0.0007780194282531738
x311,4.8494338989257814e-05
x312,5.561113357543945e-05
x313,6.248950958251954e-05
x314,8.04901123046875e-05
x315,0.0012932300567626953
x318,0.0001112222671508789
x319,3.3748149871826175e-05
x320,0.0020780324935913085
x321,1.671314239501953e-05
x322,1.5461444854736327e-05
x323,2.6547908782958983e-05
x324,6.24537467956543e-05
x325,0.008872771263122558
x326,0.000837242603302002
x327,0.00298691987991333
x328,0.00013109445571899415
x329,0.00013153553009033204
x330,2.70843505859375e-05
x331,1.8048286437988282e-05
x332,4.2498111724853516e-05
x335,3.7157535552978514e-05
x337,5.6302547454833986e-05
x339,5.418062210083008e-05
x340,1.4793872833251952e-05
x341,7.063150405883789e-05
x342,8.900165557861328e-05
x343,7.227659225463867e-05
x344,0.00017377138137817383
x345,6.431341171264648e-05
x346,7.62939453125e-05
x347,3.1948089599609375e-05
x349,0.0004308581352233887
x350,0.00010378360748291016
x351,1.7488002777099608e-05
x352,5.532503128051758e-05
x353,3.000497817993164e-05
x354,2.8407573699951173e-05
x355,1.677274703979492e-05
x356,1.41143798828125e-05
x357,0.00011031627655029297
x358,5.2928924560546875e-05
x359,5.5229663848876954e-05
x360,4.9901008605957034e-05
x361,4.622936248779297e-05
x362,0.0006765246391296387
x364,0.00010340213775634765
x365,4.286766052246094e-05
x366,0.0004577159881591797
x367,7.361173629760742e-05
x368,7.920265197753906e-05
x369,5.345344543457031e-05
x370,9.489059448242187e-06
x371,4.3785572052001954e-05
x372,4.0090084075927736e-05
